球員,位置,攻擊得分,攔網得分,發球得分,接發,防守,舉球,總得分,match_id,隊伍類型,球員名稱
鄭玉森 #16,Libero,1,0,0,2,2,2,1,6071,客隊,鄭玉森
洪𤋮鈞 #8,OppositeHitter,1,0,0,0,1,0,1,6071,客隊,洪𤋮鈞
李尼希米 #1,OutsideHitter,0,0,0,0,0,0,0,6071,客隊,李尼希米
黃仁威 #20,Setter,0,0,0,0,0,5,0,6071,客隊,黃仁威
李權紘 #66,OppositeHitter,0,0,0,0,0,0,0,6071,客隊,李權紘
高得益 #12,Setter,0,0,0,0,2,3,0,6071,客隊,高得益
花村和哉 #14,OutsideHitter,0,0,0,0,0,0,0,6071,客隊,花村和哉
利安 #10,OppositeHitter,0,0,0,0,0,0,0,6071,客隊,利安
穆多 #15,MiddleBlocker,0,0,0,0,0,0,0,6071,客隊,穆多
劉博元 #5,OutsideHitter,0,0,0,0,0,0,0,6071,客隊,劉博元
黃意凱 #32,Libero,0,0,0,0,0,0,0,6071,客隊,黃意凱
吳宗軒 #11,OppositeHitter,13,0,7,0,2,0,20,6071,主隊,吳宗軒
施琅 #9,OutsideHitter,20,0,0,17,1,0,20,6071,主隊,施琅
漢佳 #2,OutsideHitter,10,2,2,4,5,0,14,6071,主隊,漢佳
蔡秉諺 #14,MiddleBlocker,4,2,0,1,2,0,6,6071,主隊,蔡秉諺
黃謙巽 #18,OutsideHitter,2,1,0,0,0,0,3,6071,主隊,黃謙巽
薩蘭迪 #17,Setter,2,0,0,0,0,42,2,6071,主隊,薩蘭迪
汪秉勳 #15,MiddleBlocker,0,1,0,0,1,0,1,6071,主隊,汪秉勳
莊哲育 #4,Setter,0,0,0,0,0,0,0,6071,主隊,莊哲育
林冠洲 #13,OutsideHitter,0,0,0,0,0,0,0,6071,主隊,林冠洲
張昀亮 #16,Libero,0,0,0,8,5,1,0,6071,主隊,張昀亮
宋柏霆 #12,OutsideHitter,0,0,0,0,0,0,0,6071,主隊,宋柏霆
施宗諭 #10,MiddleBlocker,0,0,0,0,0,0,0,6071,主隊,施宗諭
蘇厚禎 #20,Libero,0,0,0,0,0,0,0,6071,主隊,蘇厚禎
許廷恩 #44,OppositeHitter,0,0,0,0,0,0,0,6071,主隊,許廷恩
思丹 #10,OppositeHitter,12,1,0,0,0,0,13,6072,客隊,思丹
陳建禎 #19,OutsideHitter,10,0,1,4,3,1,11,6072,客隊,陳建禎
睿克 #14,OutsideHitter,8,0,0,0,0,1,8,6072,客隊,睿克
馬亞拉 #17,MiddleBlocker,7,1,0,0,1,0,8,6072,客隊,馬亞拉
彭浩銘 #2,MiddleBlocker,4,2,0,0,0,0,6,6072,客隊,彭浩銘
陳玠廷 #7,Setter,0,1,0,0,2,16,1,6072,客隊,陳玠廷
阿巴西 #77,OutsideHitter,1,0,0,4,1,0,1,6072,客隊,阿巴西
呂慶鴻 #1,Libero,0,0,0,4,3,3,0,6072,客隊,呂慶鴻
鄭博升 #9,Libero,0,0,0,0,0,0,0,6072,客隊,鄭博升
周冠宇 #11,OppositeHitter,0,0,0,0,0,1,0,6072,客隊,周冠宇
張庭輔 #12,OutsideHitter,0,0,0,0,0,0,0,6072,客隊,張庭輔
柯宗甫 #13,MiddleBlocker,0,0,0,0,0,0,0,6072,客隊,柯宗甫
許睿恩 #15,MiddleBlocker,0,0,0,0,0,0,0,6072,客隊,許睿恩
林聖恩 #27,Libero,0,0,0,0,0,0,0,6072,客隊,林聖恩
禹良聖 #30,Setter,0,0,0,0,0,5,0,6072,客隊,禹良聖
盧清銓 #22,Setter,0,0,0,0,0,0,0,6072,客隊,盧清銓
馬可 #3,OutsideHitter,0,0,0,0,0,0,0,6072,客隊,馬可
吳宗軒 #11,OppositeHitter,19,0,1,0,1,4,20,6072,主隊,吳宗軒
施琅 #9,OutsideHitter,15,1,1,12,3,0,17,6072,主隊,施琅
漢佳 #2,OutsideHitter,11,0,0,7,2,3,11,6072,主隊,漢佳
汪秉勳 #15,MiddleBlocker,3,0,0,1,1,1,3,6072,主隊,汪秉勳
薩蘭迪 #17,Setter,2,1,0,0,7,30,3,6072,主隊,薩蘭迪
蔡秉諺 #14,MiddleBlocker,1,0,1,1,0,1,2,6072,主隊,蔡秉諺
黃謙巽 #18,OutsideHitter,0,0,0,0,0,0,0,6072,主隊,黃謙巽
莊哲育 #4,Setter,0,0,0,0,0,0,0,6072,主隊,莊哲育
林冠洲 #13,OutsideHitter,0,0,0,0,0,0,0,6072,主隊,林冠洲
張昀亮 #16,Libero,0,0,0,3,3,6,0,6072,主隊,張昀亮
宋柏霆 #12,OutsideHitter,0,0,0,0,0,0,0,6072,主隊,宋柏霆
施宗諭 #10,MiddleBlocker,0,0,0,0,0,0,0,6072,主隊,施宗諭
蘇厚禎 #20,Libero,0,0,0,0,0,0,0,6072,主隊,蘇厚禎
許廷恩 #44,OppositeHitter,0,0,0,0,0,0,0,6072,主隊,許廷恩
劉鴻敏 #7,OutsideHitter,17,0,0,15,5,2,17,6073,客隊,劉鴻敏
阿薩力 #99,OutsideHitter,12,0,0,6,3,0,12,6073,客隊,阿薩力
甘茂宏 #9,MiddleBlocker,8,0,1,0,3,0,9,6073,客隊,甘茂宏
李權紘 #66,OppositeHitter,7,0,0,0,1,0,7,6073,客隊,李權紘
陳政錡 #4,MiddleBlocker,4,2,0,0,0,0,6,6073,客隊,陳政錡
豹爾文 #27,OppositeHitter,3,0,0,0,0,0,3,6073,客隊,豹爾文
高得益 #12,Setter,0,1,1,0,0,4,2,6073,客隊,高得益
黃仁威 #20,Setter,0,1,0,0,0,24,1,6073,客隊,黃仁威
李尼希米 #1,OutsideHitter,0,0,0,0,0,0,0,6073,客隊,李尼希米
鄭玉森 #16,Libero,0,0,0,10,2,0,0,6073,客隊,鄭玉森
洪𤋮鈞 #8,OppositeHitter,0,0,0,0,0,0,0,6073,客隊,洪𤋮鈞
許美中 #56,MiddleBlocker,0,0,0,1,0,0,0,6073,客隊,許美中
花村和哉 #14,OutsideHitter,0,0,0,0,0,0,0,6073,客隊,花村和哉
利安 #10,OppositeHitter,0,0,0,0,0,0,0,6073,客隊,利安
穆多 #15,MiddleBlocker,0,0,0,0,0,0,0,6073,客隊,穆多
劉博元 #5,OutsideHitter,0,0,0,0,0,0,0,6073,客隊,劉博元
黃意凱 #32,Libero,0,0,0,0,0,0,0,6073,客隊,黃意凱
哈雷 #3,OutsideHitter,18,1,4,9,2,1,23,6073,主隊,哈雷
雷貝洛 #8,OutsideHitter,21,0,0,8,7,1,21,6073,主隊,雷貝洛
高偉誠 #9,OppositeHitter,13,1,1,0,5,0,15,6073,主隊,高偉誠
曾祥銘 #14,MiddleBlocker,8,3,0,0,0,1,11,6073,主隊,曾祥銘
安德烈 #5,MiddleBlocker,2,2,0,0,0,0,4,6073,主隊,安德烈
趙宇陽 #7,Setter,0,0,1,0,5,24,1,6073,主隊,趙宇陽
郭宇祥 #12,Setter,0,1,0,0,0,3,1,6073,主隊,郭宇祥
簡顯銘 #10,Libero,0,0,0,3,4,0,0,6073,主隊,簡顯銘
楊子頡 #11,OutsideHitter,0,0,0,0,0,0,0,6073,主隊,楊子頡
范鍾坪圻 #18,Libero,0,0,0,0,0,0,0,6073,主隊,范鍾坪圻
劉少宇 #20,Setter,0,0,0,0,0,0,0,6073,主隊,劉少宇
陳冠中 #21,MiddleBlocker,0,0,0,0,0,0,0,6073,主隊,陳冠中
洪榮發 #99,OppositeHitter,0,0,0,0,0,0,0,6073,主隊,洪榮發
申承勳 #6,Setter,0,0,0,0,0,0,0,6073,主隊,申承勳
陳冠銘 #4,OppositeHitter,0,0,0,0,0,0,0,6073,主隊,陳冠銘
劉鴻敏 #7,OutsideHitter,24,0,0,12,2,1,24,6074,客隊,劉鴻敏
李權紘 #66,OppositeHitter,19,1,1,0,2,0,21,6074,客隊,李權紘
